Fecha;Fondo;Ticker;Accion;Porcentaje;Modif_porc;Peso_absoluto;Precio;Banco;CNMV
01-09-2024;BOLSAEUROPA;RWE.DE;R.W.E AG EUR 1.327 2,43 1.718 4,32;1.94;0.00030656039239745914;0.0005947271612510707;32.63;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;UNC.MU;UCB SA EUR 711 0,81 -- --;1.94;0.00030432136335960405;0.0005903834449176318;164.35;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;GALP.LS;GALP ENERGIA EUR 1.267 1,59 1.554 1,49;1.59;-0.01185146168027379;-0.018843824071635325;18.76;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;RMS.PA;HERMES INTERNATIONAL EUR 974 1,12 -- --;1.44;0.004166666666666667;0.006;2169.0;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;EL.PA;ESSILORLUXOTTICA EUR 3.267 2,31 4.989 2,76;1.43;-0.005571030640668603;-0.007966573816156102;214.2;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;LONNE.SW;LONZA GROUP CHF 1.141 1,43 1.802 1,73;1.43;0.0;0.0;553.8;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;SIE.DE;SIEMENS AG EUR 1.748 0,96 2.092 1,50;1.39;-0.0017624250969334471;-0.002449770884737491;169.92;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;ENEL.MI;ENEL SPA EUR 1.775 1,92 -- --;1.35;0.0026292725679228444;0.00354951796669584;6.864;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;TEP.PA;TELEPERFORMANCE EUR 779 0,83 -- --;1.34;0.003654822335025375;0.004897461928934002;98.86;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;HSBA.L;HSBC HOLDINGS GBP 930 1,07 1.089 1,18;1.33;0.008928571428571567;0.011875000000000184;666.7;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;MTS.MC;ARCELOR MITTAL EUR 997 0,96 -- --;1.26;0.0009451795841209628;0.001190926275992413;21.18;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;SU.PA;SCHNEIDER EUR 1.129 1,22 -- --;1.25;-0.0030381944444445182;-0.003797743055555648;229.7;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;ALV.DE;ALLIANZ SE EUR 968 1,21 853 0,82;1.21;0.0;0.0;280.9;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;SY1.BE;SYMRISE AG EUR 947 1,19 -- --;1.19;-0.0025337837837838798;-0.0030152027027028168;118.1;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;VIE.PA;VEOLIA ENVIRONNEMENT EUR 932 1,01 -- --;1.15;0.005372733378106116;0.006178643384822033;29.94;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;SAP.DE;SAP SE EUR 4.041 2,27 3.645 2,29;1.14;-0.006532006833484129;-0.007446487790171906;197.72;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;BNP.PA;BNP PARIBAS EUR 1.558 1,10 -- --;1.1;0.007567219449364013;0.008323941394300415;62.58;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;INGA.AS;ING GROEP NV EUR 1.141 0,81 -- --;1.1;0.004780583476342204;0.005258641823976425;16.394;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;BC.MI;BRUNELLO CUCINELLI EUR 1.024 0,98 -- --;1.08;0.00623582766439906;0.006734693877550986;88.75;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;MRK.F;MERCK KGAA EUR 909 0,87 1.085 1,15;1.08;0.014367816091954023;0.015517241379310346;176.5;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;ADYEN.AS;ADYEN NV EUR 3.046 1,85 3.048 1,91;1.07;-0.0077646707480962295;-0.008308197700462965;1329.0;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;DRX.L;DRAX GROUP GBP 846 1,06 -- --;1.06;-0.0222052067381317;-0.023537519142419604;638.5;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;0QPY.IL;SONOVA HOLDING AG CHF 767 0,96 1.244 1,19;0.96;6.764755623216186e-05;6.494165398287538e-05;295.67;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;PUK;PRUDENTIAL GBP 929 0,89 789 0,84;0.92;0.0;0.0;17.27;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;BAYN.DE;BAYER EUR 673 0,84 1.013 0,97;0.84;0.0019777058612009965;0.0016612729234088371;27.865;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;DGE.L;DIAGEO GBP 4.539 2,49 2.268 1,62;0.78;-0.006629168340699076;-0.005170751305745279;2472.5;IBERCAJA;NOSE
